Wavelength,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6
248.5,101.516,99.445,31.165,28.223,78.841,40.143
249,102.161,100.131,31.305,28.312,78.887,40.357
249.5,102.117,100.194,31.437,28.438,78.976,40.513
250,101.775,99.971,31.547,28.544,79.201,40.64
250.5,101.498,99.806,31.65,28.669,79.414,40.715
251,101.664,99.974,31.689,28.785,79.653,40.703
251.5,101.906,100.191,31.744,28.794,79.909,40.694
252,102.437,100.647,31.9,28.888,79.974,40.797
252.5,103.259,101.334,31.936,28.898,80.159,40.799
253,104.212,102.28,31.999,29.054,80.281,40.98
253.5,105.109,103.181,32.067,29.175,80.382,41.152
254,105.809,103.81,32.089,29.308,80.592,41.335
254.5,105.945,104.049,32.193,29.498,80.724,41.561
255,105.876,104.069,32.332,29.605,80.947,41.708
255.5,105.91,104.177,32.43,29.679,80.983,41.774
256,106.169,104.382,32.518,29.726,81.083,41.782
256.5,106.428,104.62,32.644,29.742,81.115,41.847
257,106.808,104.917,32.698,29.757,81.13,41.93
257.5,107.08,104.963,32.745,29.723,81.171,41.931
258,107.19,105.001,32.837,29.732,81.11,42.001
258.5,107.302,105.027,32.825,29.698,81.135,41.966
259,107.549,105.25,32.801,29.677,81.225,41.921
259.5,108.117,105.844,32.85,29.658,81.24,41.865
260,108.89,106.775,32.846,29.553,81.199,41.795
260.5,109.766,107.784,32.787,29.501,81.038,41.74
261,110.681,108.813,32.778,29.566,80.936,41.621
261.5,111.388,109.648,32.677,29.673,80.794,41.585
262,111.754,110.087,32.594,29.686,80.64,41.698
262.5,111.783,110.079,32.536,29.689,80.562,41.624
263,111.514,109.704,32.556,29.751,80.444,41.642
263.5,111.369,109.43,32.485,29.814,80.358,41.637
264,111.254,109.242,32.41,29.791,80.199,41.579
264.5,111.275,109.123,32.345,29.64,80.081,41.455
265,111.096,108.946,32.301,29.448,79.737,41.46
265.5,110.821,108.655,32.175,29.288,79.457,41.262
266,110.478,108.355,32.125,29.164,79.174,41.041
266.5,110.194,108.125,31.932,28.975,78.794,40.875
267,109.894,107.755,31.671,28.694,78.376,40.719
267.5,109.608,107.394,31.338,28.45,78.04,40.386
268,109.072,106.838,31.146,28.309,77.503,40.109
268.5,108.851,106.493,30.755,28.022,77.042,39.674
269,108.221,105.707,30.445,27.817,76.491,39.259
269.5,107.252,104.53,30.202,27.55,75.898,38.854
270,105.987,103.284,29.977,27.322,75.195,38.504
270.5,104.93,102.193,29.626,27.057,74.597,37.993
271,103.998,101.215,29.302,26.725,74.016,37.594
271.5,103.193,100.599,28.902,26.366,73.439,37.293
272,102.228,99.725,28.538,26.102,72.748,36.998
272.5,101.305,99.114,28.201,25.831,72.092,36.699
273,100.391,98.52,27.943,25.569,71.394,36.383
273.5,99.776,97.894,27.545,25.24,70.849,35.96
274,98.558,96.743,27.277,25.11,70.191,35.606
274.5,97.163,95.312,27.055,24.973,69.479,35.277
275,95.872,93.967,26.733,24.788,68.824,34.86
275.5,94.831,92.742,26.399,24.571,68.105,34.498
276,93.872,91.598,26.055,24.233,67.477,34.127
276.5,92.876,90.599,25.726,23.946,66.826,33.812
277,92.043,89.736,25.47,23.646,66.187,33.413
277.5,91.305,89.034,25.126,23.284,65.605,33.064
278,90.669,88.363,24.867,23.02,65.045,32.786
278.5,90.076,87.76,24.605,22.795,64.536,32.56
279,89.218,86.934,24.371,22.651,64.001,32.357
279.5,88.322,86.046,24.155,22.448,63.464,32.149
280,87.369,85.171,23.991,22.304,62.915,31.983
280.5,86.51,84.329,23.813,22.163,62.365,31.828
281,85.709,83.535,23.638,21.956,61.809,31.529
281.5,85.127,82.941,23.399,21.743,61.324,31.22
282,84.719,82.503,23.164,21.502,60.919,30.93
282.5,84.117,81.944,22.872,21.26,60.543,30.668
283,83.666,81.416,22.744,21.164,60.104,30.428
283.5,83.208,80.976,22.538,21.067,59.694,30.17
284,82.631,80.402,22.344,20.952,59.234,29.911
284.5,81.899,79.804,22.171,20.785,58.774,29.646
285,81.16,79.2,22.055,20.67,58.334,29.45
285.5,80.61,78.716,21.904,20.528,57.883,29.247
286,80.315,78.485,21.758,20.335,57.438,28.989
286.5,80.272,78.478,21.583,20.175,57.084,28.789
287,80.164,78.224,21.444,19.994,56.708,28.666
287.5,79.734,77.948,21.293,19.848,56.407,28.558
288,79.474,77.532,21.197,19.754,56.049,28.371
288.5,78.911,76.999,21.04,19.665,55.697,28.172
